clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
"CIN2""X60","CIN2""X60","CINTA ALUMINIO 2"" X 60 YDS. 3M 70006385317  (70008500533)","CINTA ALUMINIO 2"" X 60 YDS. 3M 70006385317  (70008500533)","1,222.16",,,100,100,20,60
CINCA2X100,CINCA2X100,CINTA CANELA 2 X 100 MTS. 182 TUK,CINTA CANELA 2 X 100 MTS. 182 TUK,27,,,100,100,20,60
"CINCA2""","CINCA2""","CINTA CANELA 2"" X 100 NAVITEK 95 EXTRA","CINTA CANELA 2"" X 100 NAVITEK 95 EXTRA",27,,,100,100,20,60
CINTAPREAMARILLAJY,CINTAPREAMARILLAJY,CINTA DE PRECAUCION AMARILLA JYRSA 1192 305 MTS,CINTA DE PRECAUCION AMARILLA JYRSA 1192 305 MTS,115.61,,,100,100,20,60
CINDEDAL18MMX18,CINDEDAL18MMX18,CINTA DEDAL VERDE 18MM X18 MTS 740 TUK,CINTA DEDAL VERDE 18MM X18 MTS 740 TUK,14.29,,,100,100,20,60
CINDCA18,CINDCA18,CINTA DOBLE CARA 18MM X 50M 3/4 40,CINTA DOBLE CARA 18MM X 50M 3/4 40,59.14,,,100,100,20,60
CINTA25MM,CINTA25MM,CINTA MASKING 25 MM 1 X 50 MTS 110 TUK,CINTA MASKING 25 MM 1 X 50 MTS 110 TUK,24.97,,,100,100,20,60
CINT2X50,CINT2X50,"CINTA MASKING 51MM 2"" X 50 MTS","CINTA MASKING 51MM 2"" X 50 MTS",46.47,,,100,100,20,60
CINT95EXT,CINT95EXT,CINTA NAVITEK 95 EXTRA 72MMX100 TRANSPARENTE,CINTA NAVITEK 95 EXTRA 72MMX100 TRANSPARENTE,25.17,,,100,100,20,60
CINTAPDUCTOGRIS,CINTAPDUCTOGRIS,CINTA P/DUCTO GRIS 2 X 50 93-T TUK 659317,CINTA P/DUCTO GRIS 2 X 50 93-T TUK 659317,78.18,,,100,100,20,60
CINTAPAMA2X33MTS,CINTAPAMA2X33MTS,"CINTA P/PISO AMARILLA 2"" X 33 MTS. 434001 TUK","CINTA P/PISO AMARILLA 2"" X 33 MTS. 434001 TUK",42,,,100,100,20,60
CINTAZU2X33,CINTAZU2X33,"CINTA P/PISO AZUL 2"" X 33 MTS. 434015 TUK","CINTA P/PISO AZUL 2"" X 33 MTS. 434015 TUK",42,,,100,100,20,60
"CINTP/PNI2""","CINTP/PNI2""","CINTA P/PISO NEGRA 2"" X 33 MTS. 434041 TUK","CINTA P/PISO NEGRA 2"" X 33 MTS. 434041 TUK",42,,,100,100,20,60
CINTAPR2X33MTS,CINTAPR2X33MTS,"CINTA P/PISO ROJA 2"" X 33 MTS. 434002 TUK","CINTA P/PISO ROJA 2"" X 33 MTS. 434002 TUK",42,,,100,100,20,60
"CINTAP2""X33MTS","CINTAP2""X33MTS","CINTA P/PISO VERDE 2"" X 33 MTS. 434016 TUK","CINTA P/PISO VERDE 2"" X 33 MTS. 434016 TUK",42,,,100,100,20,60
CINTA,CINTA,"CINTA SCOTCH #23 3M 3/4"" HT002001309","CINTA SCOTCH #23 3M 3/4"" HT002001309",405.94,,,100,100,20,60
CINTASCO27,CINTASCO27,"CINTA SCOTCH #27 3M 1/2"".","CINTA SCOTCH #27 3M 1/2"".",447.32,,,100,100,20,60
CINTA33MEX3/4,CINTA33MEX3/4,"CINTA SCOTCH SUPER 33  MEX 3M  3/4""   ME900103271  CINTRA ELECTRICA VINILICA","CINTA SCOTCH SUPER 33  MEX 3M  3/4""   ME900103271  CINTRA ELECTRICA VINILICA",75,,,100,100,20,60
CINTEF01P1B2C,CINTEF01P1B2C,"CINTA TEFLON  13mm 1/2"" X 260","CINTA TEFLON  13mm 1/2"" X 260",2.77,,,100,100,20,60
CINTTEF19mm,CINTTEF19mm,"CINTA TEFLON  19mm 3/4"" X 260","CINTA TEFLON  19mm 3/4"" X 260",3.73,,,100,100,20,60
CINTTEFL25MM,CINTTEFL25MM,CINTA TEFLON 25 MM 1'' X 260,CINTA TEFLON 25 MM 1'' X 260,5.1,,,100,100,20,60
CINTA100,CINTA100,"CINTA TRASPARENTE 2"" X 100 NAVITEK 95 EXTRA","CINTA TRASPARENTE 2"" X 100 NAVITEK 95 EXTRA",18.5,,,100,100,20,60
CLAVLEV2P,CLAVLEV2P,CLAV.LEVITON M.V. 2P 3H 30A250 V#2621 NEMA L6-30,CLAV.LEVITON M.V. 2P 3H 30A250 V#2621 NEMA L6-30,331.8,,,100,100,20,60
CLAV3P4H,CLAV3P4H,CLAV.LEVITON M.V. 3P 4H 30A 125/250V #2711 NEMA L14-30P,CLAV.LEVITON M.V. 3P 4H 30A 125/250V #2711 NEMA L14-30P,443.44,,,100,100,20,60
