clave_micorsip,clave_empresa,nombre_articulo,descripcion,precio,nombre_imagen,unidad_medida,existencia,max,min,reorden
TRAPKGCOLOR,TRAPKGCOLOR,TRAPO INDUSTRIAL MUTILADO CAMISETA COLOR,TRAPO INDUSTRIAL MUTILADO CAMISETA COLOR,11.35,,,100,100,20,60
TUBFLE,TUBFLE,"TUBO FLEXIBLE CONTRAIBLE SFTW-203 1"" (24/8) BK R LS OF 30.5 MM","TUBO FLEXIBLE CONTRAIBLE SFTW-203 1"" (24/8) BK R LS OF 30.5 MM",14.38,,,100,100,20,60
TUB2031X3.5,TUB2031X3.5,"TUBO FLEXIBLE CONTRAIBLE SFTW-203 1"" X 3.5’’","TUBO FLEXIBLE CONTRAIBLE SFTW-203 1"" X 3.5’’",4.65,,,100,100,20,60
TUBOPV25,TUBOPV25,"TUBO PVC HIDRAULICO C-40 51MM 2""","TUBO PVC HIDRAULICO C-40 51MM 2""",61.54,,,100,100,20,60
TUERC-4025,TUERC-4025,TUERCA HEXAGONAL GALVANIZADA 8-32,TUERCA HEXAGONAL GALVANIZADA 8-32,0.43,,,100,100,20,60
TUERC-4025,TUERC-4025,"TUERCA UNION GALVANIZADA C-40   25MM 1""","TUERCA UNION GALVANIZADA C-40   25MM 1""",51.27,,,100,100,20,60
VALES600,VALES600,VALV. ESF. APOLLO 600LBS 6MM 1/4,VALV. ESF. APOLLO 600LBS 6MM 1/4,242.38,,,100,100,20,60
VALESFAPO40,VALESFAPO40,"VALVULA ESFERA APOLLO 400LBS 13MM 1/2"" 32-103-01","VALVULA ESFERA APOLLO 400LBS 13MM 1/2"" 32-103-01",176.58,,,100,100,20,60
VAL25MM,VAL25MM,"VALVULA ESFERA APOLLO 400LBS 25MM 1"" 32-105-01","VALVULA ESFERA APOLLO 400LBS 25MM 1"" 32-105-01",382.11,,,100,100,20,60
YEEPVC01,YEEPVC01,"YEE PVC HIDRAULICA C-40 2""","YEE PVC HIDRAULICA C-40 2""",260.35,,,100,100,20,60
